snr_db,zf_ber,mmse_ber,raw_bits_per_data_re
0,0.22449826388888888,0.18646354166666668,4
4,0.14286284722222223,0.11090972222222223,4
8,0.07971354166666667,0.059609375,4
12,0.029506944444444443,0.021222222222222222,4
16,0.012722222222222222,0.009489583333333333,4
20,0.004288194444444444,0.003045138888888889,4
24,0.0037760416666666667,0.002416666666666667,4
