snr_db,equal_power_capacity_per_carrier,waterfill_capacity_per_carrier,active_carriers
-5,0.3370872758133318,0.4841074101375777,24
0,0.8198318681182682,0.989814081031389,32
5,1.6636003593605544,1.7892190768601477,39
10,2.8505058300883093,2.9088397437378206,46
15,4.278425141798652,4.306533205800246,47
20,5.837828586905981,5.8468476083109815,48
25,7.458548982331553,7.459769355375303,48
30,9.105064143257986,9.105202004474522,48
