offered_load,scheme,throughput,packet_loss_rate,replicas_per_decoded,mean_iterations
0.1,Slotted ALOHA,0.0919,0.10399740006499836,1.1160681900616611,1.0
0.1,Rep-3 / no SIC,0.0991,0.025565388397246758,3.0787083753784055,1.0
0.1,IRSA SIC,0.09943333333333333,0.0,3.609453570231311,1.41
0.19545454545454544,Slotted ALOHA,0.15583333333333332,0.19382652181410587,1.240427807486631,1.0
0.19545454545454544,Rep-3 / no SIC,0.17543333333333333,0.09007607192254496,3.296978909367281,1.0
0.19545454545454544,IRSA SIC,0.1987,0.0010055304172951196,3.6436839456467034,2.0933333333333333
0.2909090909090909,Slotted ALOHA,0.21806666666666666,0.2561682774303582,1.344390094772241,1.0
0.2909090909090909,Rep-3 / no SIC,0.23513333333333333,0.20777178796046725,3.78678763821945,1.0
0.2909090909090909,IRSA SIC,0.2902666666666667,0.002748511223087502,3.6508957280661463,2.67
0.38636363636363635,Slotted ALOHA,0.26593333333333335,0.3207900561893411,1.4722988217598396,1.0
0.38636363636363635,Rep-3 / no SIC,0.2602,0.32666264124902955,4.4554189085318985,1.0
0.38636363636363635,IRSA SIC,0.3885,0.004016407451717607,3.5714285714285716,3.5533333333333332
0.4818181818181818,Slotted ALOHA,0.29556666666666664,0.3861968711061886,1.6291868726739596,1.0
0.4818181818181818,Rep-3 / no SIC,0.2653,0.44582927168917974,5.413494157557482,1.0
0.4818181818181818,IRSA SIC,0.47783333333333333,0.004306452733208288,3.611859086152773,4.663333333333333
0.5772727272727273,Slotted ALOHA,0.3262333333333333,0.4372052903967798,1.7768468376417696,1.0
0.5772727272727273,Rep-3 / no SIC,0.2512333333333333,0.5652148831843091,6.899960196364601,1.0
0.5772727272727273,IRSA SIC,0.5676333333333333,0.01321202990090975,3.6470726407892418,6.08
0.6727272727272726,Slotted ALOHA,0.3443,0.48540255081705863,1.943266531125956,1.0
0.6727272727272726,Rep-3 / no SIC,0.2362,0.6485816306288434,8.536833192209992,1.0
0.6727272727272726,IRSA SIC,0.6512,0.035449787696257506,3.7137080262080264,8.063333333333333
0.7681818181818181,Slotted ALOHA,0.35886666666666667,0.533373786407767,2.143042912873862,1.0
0.7681818181818181,Rep-3 / no SIC,0.20593333333333333,0.7307826390099355,11.143412107478149,1.0
0.7681818181818181,IRSA SIC,0.6343333333333333,0.17754343504192238,4.354913294797688,9.8
0.8636363636363635,Slotted ALOHA,0.3668666666666667,0.5729142413659294,2.3414501181173906,1.0
0.8636363636363635,Rep-3 / no SIC,0.17793333333333333,0.7951807228915663,14.647058823529411,1.0
0.8636363636363635,IRSA SIC,0.49606666666666666,0.4295680171719882,6.33658110469023,9.353333333333333
0.959090909090909,Slotted ALOHA,0.3666333333333333,0.6176122931442081,2.615146831530139,1.0
0.959090909090909,Rep-3 / no SIC,0.15186666666666668,0.841651605727791,18.94556628621598,1.0
0.959090909090909,IRSA SIC,0.3356,0.6475530350766645,10.174116011124354,7.03
1.0545454545454545,Slotted ALOHA,0.36856666666666665,0.6518905644932784,2.8726598534864793,1.0
1.0545454545454545,Rep-3 / no SIC,0.12713333333333332,0.8796845425867508,24.934452018877817,1.0
1.0545454545454545,IRSA SIC,0.18566666666666667,0.8245724544108847,20.52549371633752,4.34
1.15,Slotted ALOHA,0.3652666666666667,0.6808597390493942,3.1334185070268297,1.0
1.15,Rep-3 / no SIC,0.108,0.9055421124748549,31.760185185185186,1.0
1.15,IRSA SIC,0.09823333333333334,0.9146143593903923,42.253138785205294,2.63
