training_snr_db,ls_nmse,lmmse_nmse
0,0.6975715137109932,0.4095370685224754
3,0.35217409915308534,0.25933334038316597
6,0.1757062209316048,0.15001400833565684
9,0.08782117755038127,0.08082689522783888
12,0.043959945005047095,0.04219525770784936
18,0.01097872375003948,0.01084856703131343
24,0.0027920834858960204,0.002785463133297081
