policy,excess_loss,total_carbon_proxy,participation_jain,p95_round_latency_ms
random,0.01671276262624816,324.73605883369703,0.9822335200966759,82.34292287141244
utility,0.018036662928960154,338.37753578306206,0.4351603346736841,80.98990907180401
carbon,0.4988298770273235,136.17055191121932,0.27377838206856914,77.03205818439524
balanced,0.010374275905327511,298.56328722655564,0.713038081772932,82.34292287141244
