forecast_noise,policy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,failure_event_rate,migration_rate,proactive_migration_rate,migration_traffic_mb_per_step
0.0,sticky,23.373625764518703,30.282802353349584,0.028097826086956518,0.028097826086956518,0.0,0.0,0.0
0.0,reactive,22.91177710046606,29.107027519425674,0.025,0.025,0.025,0.0,1.7999999999999998
0.0,predictive_risk,22.383950783692548,29.917763972726377,0.01847826086956522,0.01847826086956522,0.04554347826086957,0.02706521739130435,3.2791304347826085
0.2,sticky,23.373625764518703,30.282802353349584,0.028097826086956518,0.028097826086956518,0.0,0.0,0.0
0.2,reactive,22.8870779878626,29.144689233456184,0.02467391304347826,0.02467391304347826,0.02467391304347826,0.0,1.7765217391304349
0.2,predictive_risk,22.4446668645324,30.302096566936044,0.018695652173913044,0.018695652173913044,0.050978260869565216,0.03228260869565218,3.6704347826086954
0.5,sticky,23.373625764518703,30.282802353349584,0.028097826086956518,0.028097826086956518,0.0,0.0,0.0
0.5,reactive,22.859190309554194,29.09321792247252,0.02402173913043478,0.02402173913043478,0.02402173913043478,0.0,1.7295652173913043
0.5,predictive_risk,22.761296904213708,32.31467167836446,0.018315217391304348,0.018315217391304348,0.08630434782608697,0.06798913043478261,6.213913043478262
0.8,sticky,23.373625764518703,30.282802353349584,0.028097826086956518,0.028097826086956518,0.0,0.0,0.0
0.8,reactive,22.955030426114604,29.294673934457936,0.02467391304347826,0.02467391304347826,0.02467391304347826,0.0,1.7765217391304349
0.8,predictive_risk,23.582858157846058,34.147903768759186,0.019347826086956524,0.019347826086956524,0.1604891304347826,0.1411413043478261,11.555217391304346
1.0,sticky,23.373625764518703,30.282802353349584,0.028097826086956518,0.028097826086956518,0.0,0.0,0.0
1.0,reactive,22.98557734593998,29.40844649840502,0.024891304347826087,0.024891304347826087,0.024891304347826087,0.0,1.7921739130434782
1.0,predictive_risk,24.221161099831342,34.92782813100381,0.02,0.02,0.2152717391304348,0.19527173913043477,15.499565217391304
1.2,sticky,23.373625764518703,30.282802353349584,0.028097826086956518,0.028097826086956518,0.0,0.0,0.0
1.2,reactive,23.015795577657222,29.417732381683553,0.024782608695652176,0.024782608695652176,0.024782608695652176,0.0,1.7843478260869565
1.2,predictive_risk,24.705101771271394,35.4655665132924,0.020706521739130436,0.020706521739130436,0.2581521739130435,0.23744565217391306,18.586956521739133
