snr_db,perfect_csi_zf,ls_zf,ls_mmse
0.000000000000000000e+00,1.621321614583333404e-01,2.601334635416666652e-01,2.601334635416666652e-01
3.000000000000000000e+00,9.378580729166666186e-02,1.743294270833332937e-01,1.743294270833332937e-01
6.000000000000000000e+00,4.638671875000000000e-02,1.072884114583333437e-01,1.072884114583333437e-01
9.000000000000000000e+00,2.042643229166666782e-02,6.337239583333334481e-02,6.337239583333334481e-02
1.200000000000000000e+01,1.035156249999999965e-02,4.041015625000000250e-02,4.041015625000000250e-02
1.500000000000000000e+01,5.540364583333333773e-03,2.942382812500000250e-02,2.942382812500000250e-02
1.800000000000000000e+01,3.375651041666666123e-03,2.423502604166666644e-02,2.423502604166666644e-02
2.100000000000000000e+01,1.979166666666666401e-03,2.177734375000000069e-02,2.177734375000000069e-02
2.400000000000000000e+01,1.100260416666666487e-03,2.065755208333333245e-02,2.065755208333333245e-02
