policy,mean_latency_ms,p95_latency_ms,cache_hit_rate,backhaul_mb,cache_updates
static,46.40546570399325,118.98651471680758,0.594275,4723.785259307944,1.0
lru,52.75159459373435,158.89085030835471,0.6333500000000001,314771.8738215626,1834.25
periodic_popularity,33.39450135449007,99.53310114138837,0.7707749999999999,6020.297599652561,15.5
periodic_value,32.59542560839544,88.41758541233321,0.7456083333333333,5373.990130170362,11.333333333333334
