frame,target,true_range,estimated_range,estimated_velocity,track_id
0,0,70.0,70.74310115274402,8.320231493261556,0
0,1,150.0,151.32617612834488,-4.62188334881851,1
1,0,71.4,72.40714745139633,8.320231493261556,0
1,1,149.1,148.85322952454817,-4.159036968843952,1
2,0,72.8,74.07119375004864,8.320231493261556,0
2,1,148.2,147.7848490001635,-4.11122875956217,1
3,0,74.2,76.49130343434707,6.863578627347087,0
3,1,147.3,146.77818448476964,-4.02940145100163,1
4,0,75.6,75.50154573325983,6.6994773759058095,0
4,1,146.4,146.99955507411303,-4.001395955812797,1
5,0,77.0,77.70758729960544,7.085802362255966,0
5,1,145.5,145.37212260473288,-4.211887695591402,1
6,0,78.4,79.6990581762739,7.398010150598283,0
6,1,144.6,144.5297450656146,-4.211887695591402,1
7,0,79.8,81.5890767078518,7.505991529817625,0
7,1,143.7,143.75984654713884,-4.155112194365835,1
8,0,81.2,82.09620685758324,7.416103035172364,0
8,1,142.8,142.41234800093858,-4.463692942841746,1
9,0,82.6,84.08759944338317,7.625705175585142,0
9,1,141.9,141.51960941237024,-4.463692942841746,1
10,0,84.0,85.04690288195992,7.4972464175513815,0
10,1,141.0,140.84933591512478,-4.244792188392861,1
11,0,85.4,86.48101693678281,7.499614235496101,0
11,1,140.1,140.00037747744622,-4.244792188392861,1
12,0,86.80000000000001,87.72130962044547,7.599738329699914,0
12,1,139.2,138.4719197558253,-4.665014258031682,1
13,0,88.2,89.24125728638545,7.599738329699914,0
13,1,138.3,137.76837860460822,-4.4946038781142,1
14,0,89.6,90.876519496899,7.667081348124947,0
14,1,137.4,136.6348922516234,-4.678056014043065,1
15,0,91.0,92.23329513051338,7.606172414640755,0
15,1,136.5,135.69928104881478,-4.678056014043065,1
16,0,92.4,93.75452961344153,7.606172414640755,0
16,1,135.6,134.2790119988641,-4.895553489543126,1
17,0,93.80000000000001,94.700885073474,7.305826554087646,0
17,1,134.7,133.29990130095547,-4.895553489543126,1
18,0,95.2,95.67006184765673,7.066291520446654,0
18,1,133.8,132.48654747378663,-4.5642488651863795,1
19,0,96.6,97.49494633859399,7.400998179864399,0
19,1,132.9,131.80449410622398,-4.444355169924101,1
20,0,98.0,98.71957099621582,7.397752111452809,0
20,1,132.0,130.79761574576182,-4.411842124434827,1
21,0,99.4,100.05924116449415,7.244467978644987,0
21,1,131.1,129.62435720893131,-4.670828205682273,1
22,0,100.80000000000001,101.33944052990014,7.157725283896651,0
22,1,130.2,128.8989994604343,-4.529121675610327,1
